original_school_name,original_city,original_county,district_id,district_name,district_type,school_id,school_name,address,city
Adrian High School,Adrian,Lenawee,46010,Adrian Public Schools,LEA School,27,Adrian High School,785 Riverside Ave,Adrian
Adrian Schools,Adrian,Lenawee,46010,Adrian Public Schools,LEA School,27,Adrian High School,785 Riverside Ave,Adrian
Airport High School,Carleton,Monroe,58020,Airport Community Schools,LEA School,1086,Airport Senior High School,11330 Grafton Rd,Carleton
Akron Fairgrove Elementary,Fairgrove,Tuscola,79010,Akron-Fairgrove Schools,LEA School,33,Akron-Fairgrove Elem. School,4335 Lynn St,Akron
Akron-Fairgrove School,Fairgrove,Tuscola,79010,Akron-Fairgrove Schools,LEA School,34,Akron-Fairgrove Jr/Sr High School,2800 North Thomas Rd,Fairgrove
Algonac High School,Algonac,St. Clair,74030,Algonac Community School District,LEA School,54,Algonac Junior/Senior High School,5200 Taft Rd,Clay
Alma Luce Road,Alma,Gratiot,29010,Alma Public Schools,LEA School,5774,Alma Senior High School,1500 Pine Ave,Alma
Luce Road Elementary - Alma Public Schools,Alma,Gratiot,29010,Alma Public Schools,LEA School,7367,Luce Road Elementary School,6265 North Luce Rd,Alma
Almont High School,Almont,Lapeer,44020,Almont Community Schools,LEA School,73,Almont High School,4701 Howland Rd,Almont
Plymouth Christian Academy,Canton,Wayne,82981,American Montessori Academy,PSA School,196,American Montessori Academy Upper Elementary,30055 Joy Rd,Westland
Anchor Bay High School,Ira,Macomb,50040,Anchor Bay School District,LEA School,89,Anchor Bay High School,6319 County Line Rd,Ira
Anchor Bay High School,Fair Haven,Macomb,50040,Anchor Bay School District,LEA School,89,Anchor Bay High School,6319 County Line Rd,Ira
Anchor Bay Middle School South,New Baltimore,Macomb,50040,Anchor Bay School District,LEA School,88,Anchor Bay Middle School North,52805 Ashley Dr,New Baltimore
Sugarbush Elementary,Chesterfield,Macomb,50040,Anchor Bay School District,LEA School,884,Dean A. Naldrett School,47800 Sugarbush Rd,Chesterfield
Sequoyah Elementary -Bozymowski,Macomb,Macomb,50040,Anchor Bay School District,LEA School,6766,Great Oaks Elementary School,32900 24 Mile Rd,Chesterfield
Athens Senior High School,Athens,Calhoun,13050,Athens Area Schools,LEA School,136,Athens Junior/Senor High School,300 East Holcomb St,Athens
East Leroy Elementary,East Leroy,Calhoun,13050,Athens Area Schools,LEA School,1027,East Leroy Elementary School,4320 K Dr S,East Leroy
Atherton Elementary School,Burton,Genesee,25130,Atherton Community Schools,LEA School,138,Atherton Jr. / Sr. High School,3354 South Genesee Rd,Burton
Bangor West,Bay City,Bay,9030,Bangor Township Schools,LEA School,186,Bangor Central School,208 State Park Dr,Bay City
Baraga Area Schools,Baraga,Baraga,7020,Baraga Area Schools,LEA School,198,Baraga School,210 Lyons St,Baraga
Bark River Harris School,Harris,Delta,21090,Bark River-Harris School District,LEA School,204,Bark River-Harris Jr/Sr High School,Hwy Us 2 & 41,Harris
Battle Creek Central,Battle Creek,Calhoun,13020,Battle Creek Public Schools,LEA School,223,Battle Creek Central High School,100 Van Buren St W,Battle Creek
Bay Arenac ISD,Bay City,Bay,9010,Bay City School District,LEA School,227,Bay City Central High School,1624 Columbus Ave,Bay City
Bay City Central High School,Bay City,Bay,9010,Bay City School District,LEA School,227,Bay City Central High School,1624 Columbus Ave,Bay City
Mackensen Elementary,Bay City,Bay,9010,Bay City School District,LEA School,2309,Mackensen Elementary School,5535 Dennis Dr,Bay City
BCPS Western,Auburn,Bay,9010,Bay City School District,LEA School,2467,Western Middle School,500 West Midland Rd,Auburn
Western Middle School,Parma,Jackson,9010,Bay City School District,LEA School,2467,Western Middle School,500 West Midland Rd,Auburn
Beaverton Elementary,Beaverton,Gladwin,26010,Beaverton Schools,LEA School,4826,Beaverton Elementary School,440 South Ross St,Beaverton
South Bendle Elementary,Burton,Genesee,25060,Bendle Public Schools,LEA School,3503,South Bendle Elementary School,4341 Larkin Dr,Burton
Barhitte Elementary,Burton,Genesee,25230,Bentley Community School District,LEA School,203,Barhitte Elementary School,6080 Roberta St,Burton
Benzie Central Community School,Benzonia,Benzie,10015,Benzie County Central Schools,LEA School,287,Benzie Central Sr. High School,9300 Homestead Rd,Benzonia
Benzie Central Community School,Benzonia,Benzie,10015,Benzie County Central Schools,LEA School,287,Benzie Central Sr. High School,9300 Homestead Rd,Benzonia
Blossomland,Berrien Springs,Berrien,11000,Berrien RESA,ISD School,6922,Blossomland Learning Center,711 Saint Joseph Ave,Berrien Springs
